"Gene.Name","ensembl_gene_id","p.value","log2foldchange"
"ANG","ENSG00000214274",0.770365258264117,-0.2
"ANGPT1","ENSG00000154188",1.23720019122977e-10,-2.4
"ANGPTL4","ENSG00000167772",3.62276251007652e-19,1.9
"AREG","ENSG00000109321",6.15999488451626e-07,2.1
"AXL","ENSG00000167601",0.00168349386600337,-0.8
"BEX3","ENSG00000166681",0.889663239168189,-0.1
"BMP2","ENSG00000125845",1.35537192413057e-19,2.3
"BMP6","ENSG00000153162",0.00103024337157154,1.7
"C3","ENSG00000125730",0.11649204412691,-0.6
"CCL1","ENSG00000108702",NA,0
"CCL13","ENSG00000181374",NA,0
"CCL16","ENSG00000275152",NA,0
"CCL2","ENSG00000108691",0.00124513332726467,-1.4
"CCL20","ENSG00000115009",NA,3.7
"CCL24","ENSG00000106178",NA,0.4
"CCL26","ENSG00000006606",0.395697004562777,0.7
"CCL3","ENSG00000277632",1.12405621378516e-21,6.6
"CCL3L1","ENSG00000276085",NA,2.3
"CCL4","ENSG00000275302",0.538871410753435,0.6
"CCL5","ENSG00000271503",5.91340915681437e-05,2
"CCL7","ENSG00000108688",0.0472829756659967,2.1
"CCL8","ENSG00000108700",NA,0.2
"CD55","ENSG00000196352",0.759919093062271,-0.1
"CD9","ENSG00000010278",2.80301092497576e-06,1.6
"CSF1","ENSG00000184371",1.42989204127515e-05,-0.9
"CSF2","ENSG00000164400",NA,4
"CSF2RB","ENSG00000100368",NA,0
"CST4","ENSG00000101441",6.28286555585697e-39,7.4
"CTNNB1","ENSG00000168036",0.326002060482492,-0.2
"CTSB","ENSG00000164733",3.79293609922515e-06,1.1
"CXCL1","ENSG00000163739",NA,1.8
"CXCL10","ENSG00000169245",NA,1.6
"CXCL12","ENSG00000107562",5.70882904637835e-16,-3.3
"CXCL16","ENSG00000161921",0.58512812307435,0.4
"CXCL2","ENSG00000081041",5.04016513747717e-17,3.7
"CXCL3","ENSG00000163734",NA,3.9
